tweet,sentiment_label
b'RT @michaelharrisdr: I believe #Trump deceleration of #InagurationDay as #Patriotism Devotion is a response to Obama 2009 #Renewal day!! \nh\xe2\x80\xa6',Negative
b'RT @Dbargen: Can You Identify This Woman Who Set A Trump Supporter\xe2\x80\x99s Hair On Fire On Inauguration Day?  https://t.co/KQFzYWSbyM @jtLOL #MAG\xe2\x80\xa6',Negative
b'RT @NARAL: MYTH: Trump bans taxpayer $ for abortion overseas.\nFACT: #GlobalGagRule kills funding for ANY health center that even *mentions*\xe2\x80\xa6',Negative
b'RT @mcasler1: "I have the most respect for women" \xe2\x80\x93 @realDonaldTrump \n*cuts off aid to global women\'s health groups* #AtMedill https://t.co\xe2\x80\xa6',Positive
b'RT @nytimes: Fact check: Sean Spicer said "This was the largest audience to ever witness an inauguration." That is false. https://t.co/8pWu\xe2\x80\xa6',Negative
b'Trump takes busy pen to Obama legacy via @PolitomixNews https://t.co/zoS3y5rYiP',Positive
b'The Trump-era assault on marriage equality has begun in Texas. https://t.co/T5c3wT0s6i via @SlateOutward',Negative
b'RT @cesamo70: Diez puntos para Trump... Mat\xc3\xb3 el TPP... El tratado internacional que Pe\xc3\xb1a ya hab\xc3\xada firmado, y que limitar\xc3\xada derechos humanos\xe2\x80\xa6',Negative
b"RT @POPSUGARMoms: You may not approve of Donald Trump, but that's no reason to attack his 10-year-old son: https://t.co/Y6i2eQtxDn https://\xe2\x80\xa6",Negative
b"RT @VP: Proud to stand w/ President Trump signing EOs: withdrawing US from TPP, prohibiting int'l abortion funding &amp; freezing hiring except\xe2\x80\xa6",Positive
b'RT @TheRalphRetort: SNL Writer Katie Rich Allegedly Fired After Barron Trump School Shooter Tweet, Name Removed From Credits\nhttps://t.co/T\xe2\x80\xa6',Positive
b"@maddow During the entire campaign, I regularly offered to pilot Trump's aircraft or drive his vehicles. No luck takin' one for the team.",Negative
b'RT @Jezebel: Melania Trump definitely loves her husband and is very happy to be here https://t.co/6Ex7uFeSEM https://t.co/Rhwm6FpgHG',Positive
b'RT @mcspocky: Crowd Scientists Say Women\xe2\x80\x99s March in Washington Had 3 Times More People Than Trump\xe2\x80\x99s Inauguration https://t.co/uOqEo3tRIy ht\xe2\x80\xa6',Positive
b"RT @Evan_McMullin: Sean Spicer misrepresented facts again today by claiming the press invented Trump's feud with the intel community. https\xe2\x80\xa6",Negative
b'RT @fixit_fitz: PLEASE, everyone who opposes Trump please follow me. I am going to try and help coordinate protests, rallies and interferen\xe2\x80\xa6',Negative
b"RT @uglyauntesther: Trump makes up Day of Patriotic Devotion. At this point he's basically Kim Jong Un with a larger inferiority complex an\xe2\x80\xa6",Negative
b"RT @ggreenwald: Bob Casey also defending Trump's TPP withdrawal. I guess he wants to win in the Rust Belt. https://t.co/FjqefXNuBc",Positive
b'RT @flanchota: - que haces negro, escuchame, soy trump, como era la clave del wifi?\n- https://t.co/Cg9qb7ZwWL',Negative
b'A bucket of fast food sets Trump Supporter on fire! https://t.co/59q8D1z2pO',Positive
b'#bitcoin #fintech Markets Update: Upward Trends As All Eye Trump and China https://t.co/u0ssTkV9nq\xe2\x80\xa6 https://t.co/P6RDRJ8LJC',Negative
b'RT @stephen_clash: Just cuz ur a woman that was able to ignore all the misogyny n White Male Supremacy, and support Trump, ur not excluded.\xe2\x80\xa6',Positive
b"RT @alexburnsNYT: Here's a better one: Trump is genuinely fixated on these things, as he has been for his entire public career\nhttps://t.co\xe2\x80\xa6",Positive
b'RT @JonRiley7: The international #WomensMarch against Trump yesterday saw protesters on every continent\n\n...yup, even Antarctica.\nhttps://t\xe2\x80\xa6',Negative
b'RT @Travel_lot: Some girls be having a Barack right in front of them and over look them for a Trump',Positive
b'@SNLUpdate #SNL @ComedyCentral #entertainment industry #Hollywood are going to continue their vile assault on Trump family. #IGNORE them.',Negative
b"RT @Darren32895836: Criminal Attorney General Lynch Pleads 5th on 1.7 BILLION Obama/Iran Ransom/Heist !! #LockHerUp Donald Trump #Tax$'s ht\xe2\x80\xa6",Negative
b"@pgrandee10 @mitchellreports @deejay90192 You mean like Hillary and Obama selling uranium to our enemies? That's high treason. Not Trump",Negative
b'RT @GoAngelo: 1) Trump steamrolls media, crosses line\n2) Media outrage\n3) Trump nice, media forgives\n4) New line further from original is d\xe2\x80\xa6',Positive
b"Between this and Kellyanne Conway and Sean Spicer claiming Trump's inauguration was nearly  as large (or larger)... https://t.co/8Xv9AxLvhW",Positive
b'President Donald Trump Calls Husband Of Murdered Orlando Lt. Debra Clayton: https://t.co/wJme7ysQeX by #GaylynR via @c0nvey',Negative
b'RT @butleriano: This should be model when Trump does the right thing. https://t.co/cLhveC3sn7',Positive
b'RT @Khanoisseur: 4. So two top Trump advisers, Schwarzman, Kushner did a $450M deal with Putin pal Leviev who is personally impacted by san\xe2\x80\xa6',Positive
b'RT @JoyAnnReid: .@seanspicer just lied on TV again. The clapping and cheering at the CIA was from a group of supporters invited by the Trum\xe2\x80\xa6',Negative
b'Digital Rights Activists Hail Trump\xe2\x80\x99s Death Blow Against TPP https://t.co/8JaYRjHHfQ #geek #tech',Negative
b'Trump reportedly wants to cut cultural programs that make up 0.02 percent of federal spending https://t.co/uHfJzeOLY6',Positive
b'RT @LabonteSteve: Bas\xc3\xa9 sur le concept des "faits alternatif" de l\'\xc3\xa9quipe Trump: Superbe cottage r\xc3\xa9nov\xc3\xa9 \xc3\xa0 proximit\xc3\xa9 de tous les services. V\xc3\xa9\xe2\x80\xa6',Negative
b'RT @DaShanneStokes: "Trump made almost 200 statements during the campaign that were deemed \'Pants on fire\' lies or simply false" https://t.\xe2\x80\xa6',Negative
b'RT @MaxCRoser: Initial net job approval\nTrump 0\nObama +56\nG.W. Bush  +32\nClinton +38\nH.W. Bush +45\nReagan +38\nCarter +58\nNixon +54\nKennedy\xe2\x80\xa6',Negative
b'RT @TheBloodShow: When you not tryna get flamed on Twitter for being black &amp; Voting Trump  https://t.co/2V6N3Kspxb',Negative
b"@tessagirrl @mamadiana @Marv_Vien Yeah, and the other with Barron.  It's rumored he, Barron, is on the spectrum &amp; Trump is anti-vax.",Negative
b'RT @DineshDSouza: "You\'re fired!" https://t.co/6CZABIqEZZ',Negative
b"RT @JordanChariton: BREAKING: @realDonaldTrump press sec implies Trump will approve #DakotaAccessPipeline. I'm about to go live on @TYTPoli\xe2\x80\xa6",Positive
b'RT @xnicorn: And the award for best Trump protest sign goes to this genius. https://t.co/l6wfABoF7D',Positive
b'Did Pence know about the Trump/Russia coalition when he joined the Trump gang? What does Pence know &amp; when did he know it?',Negative
b'That moment when you realised trump had took over potus account \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',Negative
b'RT @BrennanCenter: The need to protect democratic norms against Trump should not be a partisan crusade, but a battle beyond politics. https\xe2\x80\xa6',Negative
b"RT @FoxNews: As Trump\xe2\x80\x99s team gets to work, @SeanHannity gives you access to the White House &amp; talks to Kellyanne Conway. It's a must-see Ha\xe2\x80\xa6",Negative
b'RT @FacesPics: My favorite picture of Trump at his inauguration today https://t.co/1IGYhUNFG7',Positive
b"Ethics Experts File Lawsuit Saying Trump's Overseas Interests Violate Constitution https://t.co/9JE4begVIR via @NPR",Negative
b'RT @nytimes: Taxpayers will defend Trump in lawsuit charging constitutional violations https://t.co/12ILYQaYJj',Negative
b'@BarackObama @nytimes please come back! We need you! Trump is a psycho!',Negative
b'RT @SophiaBush: Here\'s the ACTUAL photo of Trump forgetting "ladies first" and BO and MO being gracious to Melania. That photoshopped \xf0\x9f\x92\xa9 is\xe2\x80\xa6',Positive
b'@Sergiodar11 ah\xc3\xad te das cuenta del nivel de racismo de la mayor\xc3\xada de las blancas. (M\xc3\xa1s de la mitad voto por Trump)',Negative
b"RT @relombardo3: We're Going To Remember This Moment &amp; Photo For The Rest Of Our Lives.\nDonald Trump Got Out Of His Car, Leaving Melania Be\xe2\x80\xa6",Negative
b'#Trump signs #anti family planning executive order surrounded by men \xe2\x9e\xa1\xef\xb8\x8f by @aterkel https://t.co/UuLr4wshqm via @HuffPostPol',Negative
b'RT @Russian_Starr: Bernie Sanders and Trump represent very similar visions: a focus on the white middle class that ignores everyone/everyth\xe2\x80\xa6',Negative
b"RT @gabevalhalla: Don't know if I sould be upset at Trump or the black priest https://t.co/Q7Z0sMdFTv",Negative
b'RT @En_Rebellion: Madonna affirme que Donald Trump donne une image d\xc3\xa9gradante de la femme. https://t.co/7aADQtOeXL',Negative
b"RT @Stonekettle: Spicer: It's 'Demoralizing' For Trump To See Media Narrative About Him\n\nSomewhere near Palm Springs, Obama's gleeful laugh\xe2\x80\xa6",Positive
b'RT @BriggySmalls: This is one hell of a thread on the sheer arrogance, inexperience and brazenness of Trump and his team. https://t.co/zo6u\xe2\x80\xa6',Negative
b'@doyle_annemarie I see cnn has declared war on trump .does media know we are one country ? Pathetic',Negative
b'RT @aravosis: Trump White House shuts down telephone comment line. Fascism comes on little cat feet. https://t.co/Dk1FOPzOAD',Negative
b'RT @IMPL0RABLE: #TheResistance\n\nWatching #SNL is #Resistance\n\n.@AzizAnsari hosted SNL the day after inauguration, he rocked it. https://t.c\xe2\x80\xa6',Negative
b'RT @nytimes: Fact check: Sean Spicer said "This was the largest audience to ever witness an inauguration." That is false. https://t.co/8pWu\xe2\x80\xa6',Negative
b"RT @ezraromero: Today: California Farm Leaders Disappointed By Trump's TPP Withdrawal\nhttps://t.co/bKc28XMcgp https://t.co/pshDbJ8aaH",Negative
b"RT @ChriStylezz: Can y'all please look at Melania face when Trump turns around \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/UkpOnRS7S5",Negative
b'RT @NARAL: MYTH: Trump bans taxpayer $ for abortion overseas.\nFACT: #GlobalGagRule kills funding for ANY health center that even *mentions*\xe2\x80\xa6',Negative
b'RT @MightyBusterBro: SPECTACULAR VIDEO\n5 MAGIC MAGA MINUTES\nHis Success will Prove The Haters Wrong\n\n#PRESIDENTTRUMP\n#Inauguration #MAGA #T\xe2\x80\xa6',Positive
b'RT @gabrielrufian: Muy mal lo de Trump y el castellano. El pr\xc3\xb3ximo discurso en el Congreso lo haremos en catal\xc3\xa1n para solidarizarnos. https\xe2\x80\xa6',Negative
b'Organizer For DC Women\xe2\x80\x99s March Against Trump Pictured Flashing the ISIS Sign!\n#ShariaLawSupporter  https://t.co/O2P5Pwy6GX',Negative
b"RT @kurteichenwald: Trump on Saturday said we might have another chance to take Iraq's oil. Does he not know they are now our allies? We do\xe2\x80\xa6",Negative
b"RT @Just1MoreAshley: 'Nobody has more respect for women than me, believe me.'\n\n-Donald Trump\n\n #AlternativeFacts https://t.co/vDl4tZiQut",Positive
b'RT @PPact: Trump moved to restrict access to #reprohealth care globally as one of his first acts in office: https://t.co/OUmuUIw6sH #Global\xe2\x80\xa6',Positive
b"@ericbolling @POTUS Glad I'm watching non-news. For us Trump voters, Fox is now mainstream Trump bashing. @kimguilfoyle @GregGutfeldShow",Positive
b"@FoxNews  if everyone that voted for Trump had show up in DC on the 20th you'll had something else too talk about",Negative
b'RT @feelingmyminaj: @Iacedheart trump supporter.',Negative
b'Cerita Hijaber Pemberani Hadir di Pelantikan Donald Trump https://t.co/tboF3JpxJO https://t.co/Q2I8ECG77U',Negative
b'RT @KenRoth: How long before the press stops with the "falsehoods" and "false claims" and calls them "lies"? https://t.co/HUU86JsNCv',Negative
b'@DavidWohl @ericspillman @realDonaldTrump Who cares about the # of people at the inauguration.Just another way to denigrate PRESIDENT TRUMP!',Negative
b"RT @DesiJed: As I watch 4 white men delight in taking away a woman's right to choose, i think about how there's no difference between Hilla\xe2\x80\xa6",Positive
b'RT @cpall1: While Spicer and Conway continue to lie. Remember that they are there to enable Trump. https://t.co/fPYLhcHgUB',Negative
b"RT @KeithOlbermann: NEW VIDEO: He can't tell rain from sun, or crowds from empty streets. A video for his supporters: Trump must resign htt\xe2\x80\xa6",Positive
b'RT @NlBIRU: if you voted "no", you support CORPORATE FASCISM and are a FUCKING IDIOT. half of you don\'t know what the TPP deal is - you jus\xe2\x80\xa6',Negative
